"日期","上市加權指數","上市漲跌點數","上市漲跌幅(%)","上市成交金額(元)","上櫃櫃買指數","上櫃漲跌點數","上櫃漲跌幅(%)","上櫃成交金額(元)"
"08/10","44928.76","702.85","1.59","880440723750","391.61","7.42","1.93","188766082000"
"08/07","44225.91","-170.79","-0.38","850815189087","384.19","-7.18","-1.83","206043637000"
"08/06","44396.7","-214.9","-0.48","974054973424","391.37","7.62","1.99","224818071000"
"08/05","44611.6","1250.94","2.88","1200212510521","383.75","8.72","2.33","182591031000"
"08/04","43360.66","-25.75","-0.06","1087045875836","375.03","12.14","3.35","159489264000"
