名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,3729.57,745.91,158737,2280.0,-5.00%
2,2454,聯發科,上市,半導體 / IC設計,1952.15,390.43,52354,3315.0,-13.90%
3,2327,國巨*,上市,被動元件,1775.81,355.16,269358,563.0,-19.91%
4,2408,南亞科,上市,半導體 / 記憶體,1572.98,314.6,375471,392.5,-11.90%
5,3231,緯創,上市,電腦 / AI伺服器,1188.71,237.74,685074,170.0,+3.66%
6,2303,聯電,上市,半導體 / 晶圓代工,1053.88,210.78,816088,113.5,-18.35%
7,4958,臻鼎-KY,上市,電子 / PCB軟板,945.69,189.14,190053,427.5,-23.52%
8,2344,華邦電,上市,半導體 / 記憶體,910.02,182.0,570137,144.0,-15.79%
9,3037,欣興,上市,電子 / ABF載板,907.09,181.42,105819,764.0,-15.77%
10,2308,台達電,上市,電子 / 電源綠能,905.2,181.04,51382,1580.0,-15.96%
11,8046,南電,上市,電子 / ABF載板,869.66,173.93,75182,976.0,-25.21%
12,0050,元大台灣50,上市,指數型 / ETF,844.4,168.88,846603,97.15,-6.45%
13,1303,南亞,上市,塑膠塑化 / 原料,813.01,162.6,425247,157.0,-24.52%
14,4979,華星光,上櫃,一般產業,731.89,146.38,165986,427.0,+0.00%
15,6669,緯穎,上市,一般產業,719.14,143.83,13013,5315.0,-3.36%
16,3481,群創,上市,光電 / 面板製造,703.85,140.77,1436586,45.0,-14.29%
17,3189,景碩,上市,一般產業,641.48,128.3,86659,639.0,-19.72%
18,2317,鴻海,上市,代工 / AI伺服器,638.29,127.66,254038,238.0,-5.37%
19,3711,日月光投控,上市,半導體 / 封測龍頭,616.87,123.37,100263,554.0,-15.55%
20,3017,奇鋐,上市,一般產業,513.44,102.69,21570,2240.0,-1.10%
