名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,3447.62,689.52,145010,2350.0,-2.49%
2,2327,國巨*,上市,被動元件,2195.82,439.16,329810,625.0,-6.72%
3,2454,聯發科,上市,半導體 / IC設計,1824.88,364.98,48137,3680.0,+0.27%
4,2408,南亞科,上市,半導體 / 記憶體,1616.5,323.3,385101,436.0,+7.65%
5,2303,聯電,上市,半導體 / 晶圓代工,1223.74,244.75,923468,126.0,-6.32%
6,3231,緯創,上市,電腦 / AI伺服器,1099.33,219.87,637905,177.0,+18.39%
7,4958,臻鼎-KY,上市,電子 / PCB軟板,1041.37,208.27,205642,470.5,-7.56%
8,1303,南亞,上市,塑膠塑化 / 原料,981.45,196.29,504831,174.0,-11.00%
9,2344,華邦電,上市,半導體 / 記憶體,973.2,194.64,605791,160.0,+2.89%
10,3037,欣興,上市,電子 / ABF載板,919.72,183.94,106452,848.0,+2.79%
11,8046,南電,上市,電子 / ABF載板,914.21,182.84,76474,1075.0,-9.66%
12,2308,台達電,上市,電子 / 電源綠能,840.79,168.16,45949,1755.0,-4.36%
13,4979,華星光,上櫃,一般產業,786.0,157.2,177111,448.5,+0.00%
14,3481,群創,上市,光電 / 面板製造,703.77,140.75,1392979,47.35,-6.61%
15,6669,緯穎,上市,一般產業,672.23,134.45,12235,5745.0,+14.90%
16,6147,頎邦,上櫃,一般產業,645.04,129.01,429879,155.0,+0.00%
17,3105,穩懋,上櫃,一般產業,644.5,128.9,186987,355.0,+0.00%
18,2317,鴻海,上市,代工 / AI伺服器,635.93,127.19,252648,253.0,+2.85%
19,3189,景碩,上市,一般產業,562.21,112.44,73866,710.0,-4.83%
20,3081,聯亞,上櫃,一般產業,560.83,112.17,31021,1805.0,+0.00%
