名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2197.65,439.53,92579,2375.0,-0.21%
2,2408,南亞科,上市,半導體 / 記憶體,1958.64,391.73,379905,501.0,-2.72%
3,2454,聯發科,上市,半導體 / IC設計,1506.78,301.36,39553,3765.0,-3.09%
4,3037,欣興,上市,電子 / ABF載板,1266.39,253.28,113359,1075.0,-6.11%
5,2344,華邦電,上市,半導體 / 記憶體,1172.95,234.59,659736,177.0,+0.28%
6,2327,國巨*,上市,被動元件,1036.21,207.24,181013,551.0,-4.34%
7,3008,大立光,上市,一般產業,889.04,177.81,16353,5385.0,+1.80%
8,2308,台達電,上市,電子 / 電源綠能,803.03,160.61,45281,1735.0,-4.67%
9,3189,景碩,上市,一般產業,802.61,160.52,94011,794.0,-8.21%
10,3260,威剛,上櫃,一般產業,717.71,143.54,161728,438.5,+0.00%
11,2383,台光電,上市,電子 / CCL銅箔基板,711.81,142.36,12054,5430.0,-12.49%
12,8299,群聯,上櫃,一般產業,690.31,138.06,31943,2135.0,+0.00%
13,3443,創意,上市,一般產業,689.14,137.83,12430,5365.0,-3.07%
14,2303,聯電,上市,半導體 / 晶圓代工,666.3,133.26,558822,123.5,+3.78%
15,8039,台虹,上市,一般產業,664.91,132.98,236997,265.0,-4.50%
16,1303,南亞,上市,塑膠塑化 / 原料,655.2,131.04,343826,180.0,-10.00%
17,8046,南電,上市,電子 / ABF載板,650.27,130.05,54212,1135.0,-8.84%
18,6182,合晶,上櫃,上櫃 / 矽晶圓,622.12,124.42,544426,110.0,+0.00%
19,4958,臻鼎-KY,上市,電子 / PCB軟板,618.38,123.68,133570,435.5,-8.12%
20,3653,健策,上市,一般產業,612.0,122.4,11413,5155.0,+0.10%
