名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,4864.67,972.93,214478,2205.0,-6.17%
2,2454,聯發科,上市,半導體 / IC設計,2041.23,408.25,60335,3235.0,-13.73%
3,2327,國巨*,上市,被動元件,1619.92,323.98,292905,456.5,-28.89%
4,2408,南亞科,上市,半導體 / 記憶體,1521.12,304.22,398845,328.0,-18.20%
5,0050,元大台灣50,上市,指數型 / ETF,1468.31,293.66,1528128,93.5,-8.06%
6,2303,聯電,上市,半導體 / 晶圓代工,1348.68,269.74,1171768,110.0,-14.06%
7,2308,台達電,上市,電子 / 電源綠能,1243.93,248.79,78449,1530.0,-14.29%
8,3231,緯創,上市,電腦 / AI伺服器,1055.27,211.05,610332,160.0,-10.61%
9,3037,欣興,上市,電子 / ABF載板,1033.1,206.62,135682,716.0,-14.66%
10,8046,南電,上市,電子 / ABF載板,897.92,179.58,92702,837.0,-24.59%
11,4958,臻鼎-KY,上市,電子 / PCB軟板,875.55,175.11,203505,376.0,-21.99%
12,3481,群創,上市,光電 / 面板製造,870.85,174.17,1951411,41.4,-16.36%
13,2344,華邦電,上市,半導體 / 記憶體,859.06,171.81,609333,118.5,-23.30%
14,6274,台燿,上櫃,上櫃 / CCL銅箔基板,749.84,149.97,72127,1010.0,+0.00%
15,1303,南亞,上市,塑膠塑化 / 原料,693.6,138.72,436822,145.0,-18.31%
16,2317,鴻海,上市,代工 / AI伺服器,682.71,136.54,284450,229.5,-9.11%
17,00631L,元大台灣50正2,上市,槓桿型 / ETF,644.46,128.89,2132087,28.38,-15.28%
18,3711,日月光投控,上市,半導體 / 封測龍頭,644.24,128.85,116824,505.0,-17.62%
19,2383,台光電,上市,電子 / CCL銅箔基板,641.74,128.35,14522,4315.0,-9.25%
20,6669,緯穎,上市,一般產業,639.15,127.83,11903,4900.0,-14.49%
