名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2868.14,573.63,119077,2390.0,-1.24%
2,2408,南亞科,上市,半導體 / 記憶體,2788.55,557.71,527685,477.5,-11.57%
3,2454,聯發科,上市,半導體 / IC設計,2146.16,429.23,50296,4340.0,+8.91%
4,3037,欣興,上市,電子 / ABF載板,1868.95,373.79,188822,923.0,-16.85%
5,1303,南亞,上市,塑膠塑化 / 原料,1706.37,341.27,727818,221.0,+0.23%
6,2344,華邦電,上市,半導體 / 記憶體,1685.3,337.06,933730,169.0,-6.89%
7,2327,國巨*,上市,被動元件,1584.65,316.93,280706,511.0,-14.41%
8,2303,聯電,上市,半導體 / 晶圓代工,1340.05,268.01,1042805,125.0,-3.85%
9,3008,大立光,上市,一般產業,1187.01,237.4,15968,7150.0,+1.20%
10,4958,臻鼎-KY,上市,電子 / PCB軟板,1141.68,228.34,225705,464.0,-3.43%
11,3189,景碩,上市,一般產業,1129.4,225.88,131856,775.0,-13.79%
12,8046,南電,上市,電子 / ABF載板,1043.6,208.72,86377,1080.0,-12.90%
13,2308,台達電,上市,電子 / 電源綠能,1027.19,205.44,57055,1760.0,-3.83%
14,3105,穩懋,上櫃,一般產業,957.75,191.55,205140,446.5,+0.00%
15,6669,緯穎,上市,一般產業,918.65,183.73,22793,2475.0,-65.62%
16,1815,富喬,上櫃,一般產業,777.29,155.46,607327,120.0,+0.00%
17,2368,金像電,上市,一般產業,706.81,141.36,60137,1100.0,-2.65%
18,3081,聯亞,上櫃,一般產業,689.47,137.89,21003,3120.0,+0.00%
19,2313,華通,上市,一般產業,661.66,132.33,265444,236.0,-2.07%
20,3017,奇鋐,上市,一般產業,649.53,129.91,19143,3300.0,-1.79%
