名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,6146.33,1229.27,267433,2370.0,+3.95%
2,2454,聯發科,上市,半導體 / IC設計,1802.73,360.55,53796,3910.0,+17.95%
3,0050,元大台灣50,上市,指數型 / ETF,1774.64,354.93,1828534,102.0,+4.99%
4,2308,台達電,上市,電子 / 電源綠能,1736.49,347.3,110036,1580.0,+0.00%
5,2303,聯電,上市,半導體 / 晶圓代工,1381.49,276.3,1218533,118.0,+3.96%
6,2327,國巨*,上市,被動元件,1146.53,229.31,223087,552.0,-1.95%
7,2408,南亞科,上市,半導體 / 記憶體,1112.8,222.56,303752,396.5,+1.02%
8,3231,緯創,上市,電腦 / AI伺服器,1079.25,215.85,622598,186.0,+9.41%
9,3037,欣興,上市,電子 / ABF載板,952.24,190.45,125929,865.0,+13.22%
10,3481,群創,上市,光電 / 面板製造,938.96,187.79,2140208,45.8,+1.78%
11,2317,鴻海,上市,代工 / AI伺服器,885.97,177.19,367010,253.0,+6.30%
12,4958,臻鼎-KY,上市,電子 / PCB軟板,856.6,171.32,207373,421.5,-1.40%
13,00631L,元大台灣50正2,上市,槓桿型 / ETF,786.7,157.34,2575419,32.62,+6.60%
14,2383,台光電,上市,電子 / CCL銅箔基板,766.03,153.21,16935,4980.0,+12.93%
15,8046,南電,上市,電子 / ABF載板,714.45,142.89,77238,953.0,-2.36%
16,1303,南亞,上市,塑膠塑化 / 原料,688.71,137.74,442500,165.0,+5.10%
17,6488,環球晶,上櫃,一般產業,684.72,136.94,76941,866.0,+0.00%
18,00981A,主動統一台股增長,上市,一般產業,682.38,136.48,2679817,27.11,+6.52%
19,6669,緯穎,上市,一般產業,638.6,127.72,11853,5925.0,+11.48%
20,2344,華邦電,上市,半導體 / 記憶體,612.4,122.48,465196,143.0,-0.69%
