"日期","上市加權指數","上市漲跌點數","上市漲跌幅(%)","上市成交金額(元)","上櫃櫃買指數","上櫃漲跌點數","上櫃漲跌幅(%)","上櫃成交金額(元)"
"08/14","45811.01","-210.47","-0.46","1104843637561","400.95","-5.17","-1.27","237372937000"
"08/13","46021.48","503.41","1.11","1104024642159","406.12","4.1","1.02","248782296000"
"08/12","45518.07","397.35","0.88","892659784922","402.02","10.34","2.64","200917880000"
"08/11","45120.72","191.96","0.43","902052207533","391.68","0.07","0.02","183880347000"
"08/10","44928.76","702.85","1.59","880440723750","391.61","7.42","1.93","188766082000"
