名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2812.19,562.44,114596,2410.0,-2.03%
2,2454,聯發科,上市,半導體 / IC設計,2031.81,406.36,43345,4585.0,-3.68%
3,2303,聯電,上市,半導體 / 晶圓代工,1621.19,324.24,1152413,140.5,-1.75%
4,2408,南亞科,上市,半導體 / 記憶體,1286.33,257.27,247472,493.0,-4.64%
5,2327,國巨*,上市,被動元件,1216.68,243.34,212559,544.0,-7.64%
6,2344,華邦電,上市,半導體 / 記憶體,1144.11,228.82,624287,171.5,-4.72%
7,2308,台達電,上市,電子 / 電源綠能,1009.76,201.95,58614,1620.0,-12.43%
8,6173,信昌電,上櫃,一般產業,912.87,182.57,299283,290.0,+0.00%
9,3037,欣興,上市,電子 / ABF載板,891.16,178.23,91935,977.0,+2.95%
10,2409,友達,上市,一般產業,824.34,164.87,2753277,30.2,+5.23%
11,1303,南亞,上市,塑膠塑化 / 原料,750.17,150.03,316865,234.5,+1.74%
12,3231,緯創,上市,電腦 / AI伺服器,729.19,145.84,387320,185.5,-5.84%
13,3711,日月光投控,上市,半導體 / 封測龍頭,650.79,130.16,104043,618.0,-0.48%
14,3008,大立光,上市,一般產業,645.01,129.0,9605,6660.0,+0.00%
15,2492,華新科,上市,一般產業,638.14,127.63,198983,311.5,-3.56%
16,3661,世芯-KY,上市,一般產業,621.86,124.37,15972,3650.0,-9.65%
17,4958,臻鼎-KY,上市,電子 / PCB軟板,608.38,121.68,121428,495.0,-1.20%
18,6770,力積電,上市,一般產業,582.91,116.58,805588,70.7,-3.02%
19,3189,景碩,上市,一般產業,533.64,106.73,65389,822.0,+1.11%
20,3481,群創,上市,光電 / 面板製造,509.41,101.88,1026812,47.7,-4.50%
