"日期","融資買進(元)","融資賣出(元)","融資償還(元)","融資餘額(元)","融資單日增減(元)","融券餘額(張)","融券單日增減(張)"
"20260806","0","0","0","0","0","0","0"
"20260805","41806109000","38557958000","890495000","523492321000","2357656000","197222","252"
"20260804","35457103000","28705274000","372517000","521134665000","6379312000","196970","11648"
"20260803","35075616000","27395104000","387890000","514755393000","7292622000","185322","-3002"
"20260731","33783271000","18478346000","1707937000","507462771000","13596988000","188324","-15890"
