"日期","上市加權指數","上市漲跌點數","上市漲跌幅(%)","上市成交金額(元)","上櫃櫃買指數","上櫃漲跌點數","上櫃漲跌幅(%)","上櫃成交金額(元)"
"08/26","45832.62","663.16","1.47","836243796302","395.66","6.25","1.60","237979116000"
"08/25","45169.46","407.14","0.91","724258445490","389.41","3.31","0.86","168782272000"
"08/24","44762.32","-461.97","-1.02","656280679689","386.1","-1.17","-0.30","186358091000"
"08/21","45224.29","290.55","0.65","754905335886","387.27","-2.69","-0.69","197673238000"
"08/20","44933.74","214.39","0.48","834412514041","389.96","5.17","1.34","183188159000"
