名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2878.46,575.69,116364,2475.0,+0.61%
2,2454,聯發科,上市,半導體 / IC設計,2430.71,486.14,47981,5285.0,+12.21%
3,2303,聯電,上市,半導體 / 晶圓代工,1637.42,327.48,1033748,154.0,-1.28%
4,2408,南亞科,上市,半導體 / 記憶體,1439.73,287.95,280046,503.0,-4.19%
5,2409,友達,上市,一般產業,1315.56,263.11,3825450,34.2,+12.69%
6,3189,景碩,上市,一般產業,1305.81,261.16,144699,962.0,+15.62%
7,2308,台達電,上市,電子 / 電源綠能,1260.32,252.06,67829,1910.0,+10.09%
8,2327,國巨*,上市,被動元件,1003.91,200.78,175603,580.0,+5.45%
9,3037,欣興,上市,電子 / ABF載板,904.32,180.86,82541,1185.0,+20.80%
10,8046,南電,上市,電子 / ABF載板,840.37,168.07,72534,1240.0,+12.73%
11,6274,台燿,上櫃,上櫃 / CCL銅箔基板,788.2,157.64,52692,1495.0,+0.00%
12,3443,創意,上市,一般產業,785.59,157.12,10214,8525.0,+19.23%
13,4958,臻鼎-KY,上市,電子 / PCB軟板,778.41,155.68,161952,475.5,+0.53%
14,2449,京元電子,上市,一般產業,776.76,155.35,254530,311.0,+6.69%
15,1303,南亞,上市,塑膠塑化 / 原料,768.3,153.66,326031,238.0,+0.00%
16,2344,華邦電,上市,半導體 / 記憶體,759.94,151.99,434465,171.5,-4.46%
17,3008,大立光,上市,一般產業,656.44,131.29,10288,6245.0,-2.88%
18,3711,日月光投控,上市,半導體 / 封測龍頭,648.78,129.76,96341,699.0,+9.56%
19,2383,台光電,上市,電子 / CCL銅箔基板,646.01,129.2,13076,5050.0,+3.27%
20,3481,群創,上市,光電 / 面板製造,624.48,124.9,1240476,49.55,+2.69%
