名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2842.66,568.53,118153,2410.0,+0.21%
2,2408,南亞科,上市,半導體 / 記憶體,2730.62,546.12,525760,496.0,-8.66%
3,2454,聯發科,上市,半導體 / IC設計,2344.9,468.98,54282,4415.0,+12.48%
4,3037,欣興,上市,電子 / ABF載板,1899.02,379.8,200771,902.0,-9.71%
5,2344,華邦電,上市,半導體 / 記憶體,1572.93,314.59,880792,174.0,-4.66%
6,1303,南亞,上市,塑膠塑化 / 原料,1419.07,283.81,602626,225.5,-7.01%
7,2327,國巨*,上市,被動元件,1417.89,283.58,257303,562.0,+3.12%
8,4958,臻鼎-KY,上市,電子 / PCB軟板,1132.78,226.56,225393,463.0,-7.40%
9,2303,聯電,上市,半導體 / 晶圓代工,1107.01,221.4,859737,130.0,+0.78%
10,3189,景碩,上市,一般產業,1092.35,218.47,130058,819.0,+0.00%
11,8046,南電,上市,電子 / ABF載板,1032.01,206.4,88547,1055.0,-14.23%
12,3008,大立光,上市,一般產業,958.55,191.71,12708,7400.0,-3.27%
13,2308,台達電,上市,電子 / 電源綠能,949.56,189.91,52852,1825.0,-0.82%
14,6669,緯穎,上市,一般產業,887.17,177.43,25161,2565.0,-63.85%
15,3081,聯亞,上櫃,一般產業,864.03,172.81,27665,3170.0,+0.00%
16,2455,全新,上市,一般產業,714.75,142.95,139990,528.0,+10.69%
17,2368,金像電,上市,一般產業,689.5,137.9,58903,1045.0,-10.30%
18,3017,奇鋐,上市,一般產業,671.13,134.23,19623,3570.0,+4.23%
19,3231,緯創,上市,電腦 / AI伺服器,626.58,125.32,331138,198.0,+11.24%
20,3711,日月光投控,上市,半導體 / 封測龍頭,615.16,123.03,104108,588.0,+0.68%
