名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2041.52,408.3,86120,2400.0,+2.13%
2,2408,南亞科,上市,半導體 / 記憶體,1831.57,366.31,361181,510.0,+6.03%
3,2454,聯發科,上市,半導體 / IC設計,1339.43,267.89,35632,3735.0,-2.86%
4,2344,華邦電,上市,半導體 / 記憶體,996.25,199.25,569317,179.0,+6.55%
5,2327,國巨*,上市,被動元件,995.73,199.15,177920,544.0,-5.56%
6,3037,欣興,上市,電子 / ABF載板,983.41,196.68,89955,1095.0,-3.10%
7,3008,大立光,上市,一般產業,813.94,162.79,14811,5720.0,+3.06%
8,2308,台達電,上市,電子 / 電源綠能,769.95,153.99,44427,1710.0,-3.12%
9,8039,台虹,上市,一般產業,744.13,148.83,265410,291.5,+7.37%
10,2303,聯電,上市,半導體 / 晶圓代工,708.85,141.77,592337,125.0,+8.23%
11,2383,台光電,上市,電子 / CCL銅箔基板,686.51,137.3,11916,5595.0,-4.85%
12,3081,聯亞,上櫃,一般產業,663.02,132.6,23668,2960.0,+0.00%
13,3189,景碩,上市,一般產業,652.2,130.44,78478,835.0,-1.65%
14,3443,創意,上市,一般產業,638.06,127.61,11623,5570.0,+5.19%
15,1303,南亞,上市,塑膠塑化 / 原料,626.48,125.3,335521,188.5,+0.53%
16,8046,南電,上市,電子 / ABF載板,610.03,122.01,52339,1160.0,-1.69%
17,2301,光寶科,上市,一般產業,572.31,114.46,205280,296.0,+8.23%
18,6770,力積電,上市,一般產業,532.92,106.58,778449,69.0,+3.60%
19,2609,陽明,上市,一般產業,519.19,103.84,830008,63.6,+7.80%
20,3653,健策,上市,一般產業,490.66,98.13,9181,5205.0,-4.67%
