名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2454,聯發科,上市,半導體 / IC設計,2972.55,594.51,65819,4710.0,+10.18%
2,2330,台積電,上市,半導體 / 晶圓代工,2658.48,531.7,109335,2470.0,+3.56%
3,2408,南亞科,上市,半導體 / 記憶體,1959.37,391.87,385177,531.0,+2.51%
4,2327,國巨*,上市,被動元件,1339.17,267.83,238495,567.0,+5.00%
5,3037,欣興,上市,電子 / ABF載板,1317.14,263.43,140400,954.0,-1.95%
6,2303,聯電,上市,半導體 / 晶圓代工,1313.44,262.69,975275,137.0,+8.73%
7,2344,華邦電,上市,半導體 / 記憶體,1237.88,247.58,686691,188.0,+5.03%
8,1303,南亞,上市,塑膠塑化 / 原料,1026.71,205.34,440245,235.0,-1.05%
9,2308,台達電,上市,電子 / 電源綠能,887.04,177.41,49411,1805.0,+4.34%
10,3231,緯創,上市,電腦 / AI伺服器,864.74,172.95,453161,186.5,+0.54%
11,4958,臻鼎-KY,上市,電子 / PCB軟板,847.59,169.52,172222,505.0,-0.39%
12,6669,緯穎,上市,一般產業,790.29,158.06,30991,2340.0,-10.34%
13,1815,富喬,上櫃,一般產業,780.78,156.16,578488,135.0,+0.00%
14,3189,景碩,上市,一般產業,733.48,146.7,89845,800.0,-5.55%
15,3008,大立光,上市,一般產業,715.93,143.19,10066,6500.0,-16.77%
16,8046,南電,上市,電子 / ABF載板,691.11,138.22,63438,1025.0,-14.58%
17,3017,奇鋐,上市,一般產業,641.24,128.25,18724,3285.0,-0.76%
18,3081,聯亞,上櫃,一般產業,605.89,121.18,20423,2865.0,+0.00%
19,3481,群創,上市,光電 / 面板製造,550.32,110.06,1106274,48.8,-0.51%
20,6223,旺矽,上櫃,一般產業,542.04,108.41,9387,5795.0,+0.00%
