名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2559.4,511.88,106674,2435.0,+2.74%
2,2408,南亞科,上市,半導體 / 記憶體,2505.88,501.18,509697,514.0,+12.47%
3,2344,華邦電,上市,半導體 / 記憶體,1694.43,338.89,960947,177.0,+8.26%
4,2327,國巨*,上市,被動元件,1590.7,318.14,264955,662.0,+22.59%
5,2454,聯發科,上市,半導體 / IC設計,1546.91,309.38,38334,4225.0,+8.33%
6,2308,台達電,上市,電子 / 電源綠能,1131.7,226.34,62914,1885.0,+14.24%
7,8358,金居,上櫃,一般產業,1042.33,208.47,243508,421.0,+0.00%
8,6770,力積電,上市,一般產業,1041.76,208.35,1460579,74.9,+14.35%
9,1303,南亞,上市,塑膠塑化 / 原料,956.79,191.36,511985,189.0,+0.53%
10,4958,臻鼎-KY,上市,電子 / PCB軟板,939.86,187.97,195739,477.5,+0.95%
11,2303,聯電,上市,半導體 / 晶圓代工,877.67,175.53,719472,124.5,+7.33%
12,8299,群聯,上櫃,一般產業,820.34,164.07,36721,2280.0,+0.00%
13,3105,穩懋,上櫃,一般產業,794.41,158.88,197999,387.0,+0.00%
14,4979,華星光,上櫃,一般產業,786.69,157.34,132578,564.0,+0.00%
15,2337,旺宏,上市,一般產業,774.99,155.0,585444,136.5,+12.35%
16,2368,金像電,上市,一般產業,761.94,152.39,77646,1010.0,+2.85%
17,3017,奇鋐,上市,一般產業,747.25,149.45,25401,3200.0,+14.90%
18,5483,中美晶,上櫃,一般產業,738.79,147.76,380512,187.5,+0.00%
19,2317,鴻海,上市,代工 / AI伺服器,674.06,134.81,254381,262.0,+0.77%
20,3443,創意,上市,一般產業,650.45,130.09,13138,5540.0,+21.89%
