名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2885.91,577.18,118025,2460.0,+3.36%
2,2454,聯發科,上市,半導體 / IC設計,2285.99,457.2,46870,5180.0,+14.35%
3,2303,聯電,上市,半導體 / 晶圓代工,1738.6,347.72,1125969,160.0,+12.68%
4,2408,南亞科,上市,半導體 / 記憶體,1313.49,262.7,258727,497.0,+0.91%
5,2308,台達電,上市,電子 / 電源綠能,1269.94,253.99,70581,1900.0,+11.11%
6,2409,友達,上市,一般產業,983.26,196.65,2965826,36.65,+24.66%
7,6488,環球晶,上櫃,一般產業,969.13,193.83,98653,971.0,+0.00%
8,2344,華邦電,上市,半導體 / 記憶體,898.51,179.7,515871,171.0,+1.18%
9,3105,穩懋,上櫃,一般產業,853.58,170.72,169772,501.0,+0.00%
10,6274,台燿,上櫃,上櫃 / CCL銅箔基板,851.59,170.32,58825,1440.0,+0.00%
11,3189,景碩,上市,一般產業,828.8,165.76,97505,909.0,+10.85%
12,2327,國巨*,上市,被動元件,820.3,164.06,147936,571.0,+6.53%
13,1303,南亞,上市,塑膠塑化 / 原料,814.5,162.9,344913,231.5,+3.35%
14,2383,台光電,上市,電子 / CCL銅箔基板,770.0,154.0,15778,4860.0,-4.42%
15,3008,大立光,上市,一般產業,761.1,152.22,11970,6405.0,+2.89%
16,4958,臻鼎-KY,上市,電子 / PCB軟板,725.21,145.04,149711,489.0,-0.91%
17,3037,欣興,上市,電子 / ABF載板,718.4,143.68,71466,1120.0,+16.55%
18,3443,創意,上市,一般產業,714.21,142.84,10230,8375.0,+35.74%
19,2449,京元電子,上市,一般產業,638.94,127.79,213421,317.0,+21.22%
20,8046,南電,上市,電子 / ABF載板,634.78,126.96,57145,1165.0,+5.43%
