名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2702.89,540.58,111231,2480.0,+3.98%
2,2454,聯發科,上市,半導體 / IC設計,1919.47,383.89,40948,5010.0,+13.09%
3,2303,聯電,上市,半導體 / 晶圓代工,1410.94,282.19,941380,157.0,+13.36%
4,2308,台達電,上市,電子 / 電源綠能,1192.88,238.58,68426,1875.0,+12.28%
5,2408,南亞科,上市,半導體 / 記憶體,1152.93,230.59,229684,516.0,+10.85%
6,2344,華邦電,上市,半導體 / 記憶體,842.69,168.54,489626,174.0,+9.09%
7,6274,台燿,上櫃,上櫃 / CCL銅箔基板,801.45,160.29,57715,1435.0,+0.00%
8,3443,創意,上市,一般產業,790.82,158.16,11717,7615.0,+26.18%
9,3008,大立光,上市,一般產業,781.96,156.39,12504,6400.0,+5.70%
10,1303,南亞,上市,塑膠塑化 / 原料,769.42,153.88,329198,239.5,+8.13%
11,2383,台光電,上市,電子 / CCL銅箔基板,745.98,149.2,15202,4895.0,-4.30%
12,2327,國巨*,上市,被動元件,697.6,139.52,127775,557.0,+3.72%
13,3037,欣興,上市,電子 / ABF載板,690.69,138.14,70288,1020.0,+7.26%
14,2409,友達,上市,一般產業,628.56,125.71,2041420,33.35,+19.53%
15,3189,景碩,上市,一般產業,627.25,125.45,75906,827.0,+4.03%
16,4958,臻鼎-KY,上市,電子 / PCB軟板,593.81,118.76,123681,470.0,-1.57%
17,3105,穩懋,上櫃,一般產業,584.33,116.87,118280,490.5,+0.00%
18,6213,聯茂,上市,一般產業,575.93,115.19,110620,542.0,+4.43%
19,6669,緯穎,上市,一般產業,562.9,112.58,25799,2150.0,-7.13%
20,8046,南電,上市,電子 / ABF載板,521.65,104.33,47823,1060.0,-2.30%
