名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2818.7,563.74,116665,2460.0,+3.36%
2,2454,聯發科,上市,半導體 / IC設計,1642.14,328.43,35833,4710.0,+3.29%
3,2303,聯電,上市,半導體 / 晶圓代工,1348.95,269.79,915325,156.0,+9.47%
4,2408,南亞科,上市,半導體 / 記憶體,1207.71,241.54,244400,525.0,+10.99%
5,3105,穩懋,上櫃,一般產業,1081.52,216.3,222005,500.0,+0.00%
6,2308,台達電,上市,電子 / 電源綠能,994.71,198.94,58794,1735.0,+7.10%
7,2344,華邦電,上市,半導體 / 記憶體,908.15,181.63,536402,179.5,+12.19%
8,6147,頎邦,上櫃,一般產業,830.23,166.05,371591,229.0,+0.00%
9,3008,大立光,上市,一般產業,809.41,161.88,13067,6430.0,+7.26%
10,1303,南亞,上市,塑膠塑化 / 原料,773.96,154.79,333756,238.0,+1.71%
11,6488,環球晶,上櫃,一般產業,741.53,148.31,79587,944.0,+0.00%
12,6274,台燿,上櫃,上櫃 / CCL銅箔基板,731.26,146.25,53440,1370.0,+0.00%
13,3443,創意,上市,一般產業,722.22,144.44,11170,7150.0,+11.72%
14,8299,群聯,上櫃,一般產業,697.55,139.51,33476,2140.0,+0.00%
15,2383,台光電,上市,電子 / CCL銅箔基板,694.62,138.92,14034,4890.0,-8.51%
16,2327,國巨*,上市,被動元件,663.61,132.72,122891,550.0,+0.92%
17,3037,欣興,上市,電子 / ABF載板,636.43,127.29,65970,981.0,+1.13%
18,3324,雙鴻,上櫃,一般產業,618.96,123.79,42090,1480.0,+0.00%
19,1815,富喬,上櫃,一般產業,588.18,117.64,483918,119.5,+0.00%
20,4958,臻鼎-KY,上市,電子 / PCB軟板,560.28,112.06,115910,473.0,-3.37%
