名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,4066.93,813.39,171861,2350.0,+1.29%
2,2327,國巨*,上市,被動元件,2096.31,419.26,312337,642.0,+1.90%
3,2454,聯發科,上市,半導體 / IC設計,1803.42,360.68,48230,3750.0,+12.28%
4,2408,南亞科,上市,半導體 / 記憶體,1573.53,314.71,377512,401.0,+5.25%
5,2303,聯電,上市,半導體 / 晶圓代工,1345.84,269.17,1001670,128.0,-1.54%
6,1303,南亞,上市,塑膠塑化 / 原料,1067.17,213.43,543601,177.5,-4.83%
7,4958,臻鼎-KY,上市,電子 / PCB軟板,1055.86,211.17,207113,482.0,+0.73%
8,3037,欣興,上市,電子 / ABF載板,1025.07,205.01,121460,839.0,+11.87%
9,8046,南電,上市,電子 / ABF載板,987.45,197.49,82423,1110.0,+0.45%
10,3231,緯創,上市,電腦 / AI伺服器,985.95,197.19,580617,179.0,+24.74%
11,2344,華邦電,上市,半導體 / 記憶體,964.86,192.97,602594,154.5,+2.32%
12,3081,聯亞,上櫃,一般產業,959.32,191.86,51056,1760.0,+0.00%
13,2308,台達電,上市,電子 / 電源綠能,867.93,173.59,47581,1785.0,+4.69%
14,0050,元大台灣50,上市,指數型 / ETF,745.33,149.07,737378,101.7,+2.52%
15,3481,群創,上市,光電 / 面板製造,724.11,144.82,1407888,49.5,-1.79%
16,2317,鴻海,上市,代工 / AI伺服器,660.48,132.1,265320,252.5,+7.68%
17,3189,景碩,上市,一般產業,647.55,129.51,86212,711.0,+4.71%
18,6488,環球晶,上櫃,一般產業,642.17,128.43,61280,1030.0,+0.00%
19,3711,日月光投控,上市,半導體 / 封測龍頭,638.04,127.61,101593,613.0,+2.68%
20,6669,緯穎,上市,一般產業,637.29,127.46,11828,5730.0,+22.31%
