"日期","融資買進(元)","融資賣出(元)","融資償還(元)","融資餘額(元)","融資單日增減(元)","融券餘額(張)","融券單日增減(張)"
"20260818","32136523000","34919052000","307764000","547011379000","-3090293000","204455","-13763"
"20260817","35073983000","31418197000","613432000","550101672000","3042354000","218218","-4609"
"20260814","32821706000","35124696000","418346000","547059318000","-2721336000","222827","8781"
"20260813","38863251000","36702852000","463657000","549780654000","1696742000","214046","12099"
"20260812","34117880000","29685569000","500376000","548083912000","3931935000","201947","-2872"
