名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,6105.76,1221.15,264850,2320.0,+5.45%
2,2454,聯發科,上市,半導體 / IC設計,2058.73,411.75,58703,3865.0,+22.70%
3,2308,台達電,上市,電子 / 電源綠能,1812.57,362.51,114780,1620.0,+8.36%
4,0050,元大台灣50,上市,指數型 / ETF,1439.51,287.9,1481178,100.65,+7.42%
5,2327,國巨*,上市,被動元件,1428.65,285.73,273496,566.0,+11.64%
6,2303,聯電,上市,半導體 / 晶圓代工,1422.61,284.52,1247899,118.5,+15.61%
7,2408,南亞科,上市,半導體 / 記憶體,1382.48,276.5,363278,436.0,+23.34%
8,3037,欣興,上市,電子 / ABF載板,1301.9,260.38,161596,924.0,+34.30%
9,3231,緯創,上市,電腦 / AI伺服器,1220.22,244.04,687138,195.0,+15.04%
10,3481,群創,上市,光電 / 面板製造,939.87,187.97,2127715,47.8,+14.35%
11,4958,臻鼎-KY,上市,電子 / PCB軟板,888.72,177.74,214633,444.0,+9.77%
12,2317,鴻海,上市,代工 / AI伺服器,860.93,172.19,355187,250.0,+5.49%
13,2383,台光電,上市,電子 / CCL銅箔基板,807.35,161.47,17489,5140.0,+25.37%
14,1303,南亞,上市,塑膠塑化 / 原料,777.7,155.54,491922,170.5,+20.49%
15,3711,日月光投控,上市,半導體 / 封測龍頭,731.46,146.29,131831,585.0,+17.23%
16,6669,緯穎,上市,一般產業,718.09,143.62,12914,6205.0,+20.84%
17,00631L,元大台灣50正2,上市,槓桿型 / ETF,717.12,143.42,2342311,32.15,+12.69%
18,2344,華邦電,上市,半導體 / 記憶體,697.71,139.54,517699,157.0,+20.77%
19,00981A,主動統一台股增長,上市,一般產業,671.09,134.22,2620110,27.58,+15.64%
20,8046,南電,上市,電子 / ABF載板,614.06,122.81,67043,1045.0,+18.89%
