名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2408,南亞科,上市,半導體 / 記憶體,2548.23,509.65,503314,524.0,+7.16%
2,2330,台積電,上市,半導體 / 晶圓代工,2379.02,475.8,98574,2400.0,+0.21%
3,2454,聯發科,上市,半導體 / IC設計,1950.11,390.02,47247,4050.0,+0.75%
4,2327,國巨*,上市,被動元件,1835.92,367.18,295044,608.0,-1.46%
5,2344,華邦電,上市,半導體 / 記憶體,1816.66,363.33,999147,181.5,+1.97%
6,6770,力積電,上市,一般產業,1352.69,270.54,1798643,74.6,+11.34%
7,2308,台達電,上市,電子 / 電源綠能,1308.68,261.74,69972,1885.0,+4.43%
8,4958,臻鼎-KY,上市,電子 / PCB軟板,1157.91,231.58,236426,503.0,+2.65%
9,1303,南亞,上市,塑膠塑化 / 原料,1126.19,225.24,573555,200.5,+5.53%
10,8046,南電,上市,電子 / ABF載板,983.51,196.7,77086,1295.0,+12.61%
11,3037,欣興,上市,電子 / ABF載板,918.61,183.72,85747,1120.0,+12.90%
12,3017,奇鋐,上市,一般產業,874.99,175.0,28427,3150.0,+14.13%
13,3443,創意,上市,一般產業,803.65,160.73,15068,5850.0,+18.06%
14,3661,世芯-KY,上市,一般產業,739.64,147.93,17778,4060.0,+2.65%
15,2317,鴻海,上市,代工 / AI伺服器,707.28,141.46,268304,255.0,-3.04%
16,2303,聯電,上市,半導體 / 晶圓代工,689.6,137.92,556731,121.5,-1.22%
17,2337,旺宏,上市,一般產業,688.78,137.76,506848,129.5,-2.26%
18,2492,華新科,上市,一般產業,672.53,134.51,224048,291.5,-3.00%
19,2383,台光電,上市,電子 / CCL銅箔基板,636.87,127.37,10928,6350.0,+14.72%
20,2368,金像電,上市,一般產業,629.98,126.0,62944,1010.0,+4.77%
