名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2325.26,465.05,96904,2425.0,+0.62%
2,6274,台燿,上櫃,上櫃 / CCL銅箔基板,1512.52,302.5,113185,1320.0,+0.00%
3,2454,聯發科,上市,半導體 / IC設計,1507.88,301.58,33060,4500.0,-1.85%
4,3105,穩懋,上櫃,一般產業,1156.73,231.35,238070,471.0,+0.00%
5,2303,聯電,上市,半導體 / 晶圓代工,1038.99,207.8,729387,147.5,+4.98%
6,2308,台達電,上市,電子 / 電源綠能,1024.75,204.95,61667,1685.0,+4.01%
7,2408,南亞科,上市,半導體 / 記憶體,984.64,196.93,203369,488.0,-1.01%
8,2344,華邦電,上市,半導體 / 記憶體,791.54,158.31,472606,170.0,-0.87%
9,8358,金居,上櫃,一般產業,770.05,154.01,156667,478.5,+0.00%
10,3008,大立光,上市,一般產業,760.95,152.19,12204,6020.0,-9.61%
11,6147,頎邦,上櫃,一般產業,748.9,149.78,353541,209.5,+0.00%
12,2327,國巨*,上市,被動元件,714.52,142.9,131486,529.0,-2.76%
13,1303,南亞,上市,塑膠塑化 / 原料,693.18,138.64,300228,236.0,+0.64%
14,3443,創意,上市,一般產業,622.21,124.44,9918,6500.0,+6.21%
15,3037,欣興,上市,電子 / ABF載板,605.14,121.03,62839,940.0,-3.79%
16,3081,聯亞,上櫃,一般產業,601.19,120.24,21330,2720.0,+0.00%
17,2383,台光電,上市,電子 / CCL銅箔基板,568.64,113.73,11352,4695.0,-12.49%
18,3661,世芯-KY,上市,一般產業,549.45,109.89,15588,3295.0,-9.73%
19,4958,臻鼎-KY,上市,電子 / PCB軟板,510.01,102.0,104757,476.0,-3.84%
20,6213,聯茂,上市,一般產業,507.73,101.55,97748,495.0,-2.75%
