名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2408,南亞科,上市,半導體 / 記憶體,2448.24,489.65,474598,515.0,+6.74%
2,2330,台積電,上市,半導體 / 晶圓代工,2419.78,483.96,100323,2380.0,-1.45%
3,2454,聯發科,上市,半導體 / IC設計,2012.19,402.44,48861,3885.0,-3.24%
4,2344,華邦電,上市,半導體 / 記憶體,1808.99,361.8,987796,176.5,-0.28%
5,2327,國巨*,上市,被動元件,1565.25,313.05,251053,576.0,-4.32%
6,6770,力積電,上市,一般產業,1442.23,288.45,1914308,69.7,-5.43%
7,3037,欣興,上市,電子 / ABF載板,1310.94,262.19,119127,1145.0,+14.50%
8,6182,合晶,上櫃,上櫃 / 矽晶圓,1296.04,259.21,1046983,120.0,+0.00%
9,4958,臻鼎-KY,上市,電子 / PCB軟板,1189.87,237.97,242517,474.0,+0.53%
10,2308,台達電,上市,電子 / 電源綠能,1173.67,234.73,62400,1820.0,+1.68%
11,8046,南電,上市,電子 / ABF載板,1089.05,217.81,84849,1245.0,-1.58%
12,1303,南亞,上市,塑膠塑化 / 原料,1078.11,215.62,540142,200.0,+5.82%
13,3017,奇鋐,上市,一般產業,898.99,179.8,28882,3035.0,+4.30%
14,3081,聯亞,上櫃,一般產業,827.21,165.44,28134,2925.0,+0.00%
15,3443,創意,上市,一般產業,774.91,154.98,14050,5535.0,+7.89%
16,2317,鴻海,上市,代工 / AI伺服器,769.16,153.83,294251,249.0,-7.78%
17,6488,環球晶,上櫃,一般產業,730.45,146.09,67662,1060.0,+0.00%
18,8358,金居,上櫃,一般產業,724.63,144.93,168464,416.0,+0.00%
19,3661,世芯-KY,上市,一般產業,704.62,140.92,17102,3715.0,-8.38%
20,2303,聯電,上市,半導體 / 晶圓代工,701.9,140.38,568333,119.0,-3.25%
