名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2371.17,474.23,98623,2380.0,-2.86%
2,2454,聯發科,上市,半導體 / IC設計,1518.03,303.61,33226,4530.0,-4.03%
3,2308,台達電,上市,電子 / 電源綠能,1186.71,237.34,71360,1710.0,+2.09%
4,2408,南亞科,上市,半導體 / 記憶體,958.36,191.67,196535,492.5,-4.37%
5,2303,聯電,上市,半導體 / 晶圓代工,954.0,190.8,676873,142.0,-0.35%
6,3081,聯亞,上櫃,一般產業,815.81,163.16,28797,2805.0,+0.00%
7,2327,國巨*,上市,被動元件,802.95,160.59,146545,536.0,-6.29%
8,3008,大立光,上市,一般產業,747.62,149.52,11814,6225.0,-7.37%
9,2344,華邦電,上市,半導體 / 記憶體,704.87,140.97,420513,169.0,-5.85%
10,3105,穩懋,上櫃,一般產業,679.44,135.89,146174,472.5,+0.00%
11,6147,頎邦,上櫃,一般產業,658.67,131.73,324283,207.5,+0.00%
12,3037,欣興,上市,電子 / ABF載板,632.12,126.42,65253,961.0,-3.32%
13,1303,南亞,上市,塑膠塑化 / 原料,617.27,123.45,266805,224.0,-8.20%
14,3443,創意,上市,一般產業,583.23,116.65,9414,6170.0,-0.88%
15,2409,友達,上市,一般產業,540.33,108.07,1828826,29.4,-5.77%
16,3661,世芯-KY,上市,一般產業,533.59,106.72,14678,3345.0,-17.51%
17,2492,華新科,上市,一般產業,520.77,104.15,165227,307.5,-7.93%
18,8358,金居,上櫃,一般產業,504.69,100.94,101485,510.0,+0.00%
19,6274,台燿,上櫃,上櫃 / CCL銅箔基板,500.78,100.16,35702,1415.0,+0.00%
20,4958,臻鼎-KY,上市,電子 / PCB軟板,465.01,93.0,95100,493.5,-0.20%
