名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,1931.93,386.39,80319,2420.0,+1.89%
2,2408,南亞科,上市,半導體 / 記憶體,1915.4,383.08,364759,540.0,+7.78%
3,2327,國巨*,上市,被動元件,1222.72,244.54,216792,597.0,+8.35%
4,1303,南亞,上市,塑膠塑化 / 原料,1222.07,244.41,581498,220.5,+22.50%
5,3037,欣興,上市,電子 / ABF載板,1157.97,231.59,101823,1110.0,+3.26%
6,2303,聯電,上市,半導體 / 晶圓代工,1138.98,227.8,916678,130.0,+5.26%
7,2454,聯發科,上市,半導體 / IC設計,1073.72,214.74,27862,3985.0,+5.84%
8,2344,華邦電,上市,半導體 / 記憶體,1039.64,207.93,571262,181.5,+2.54%
9,3008,大立光,上市,一般產業,915.43,183.09,14346,7065.0,+31.20%
10,3105,穩懋,上櫃,一般產業,883.81,176.76,196762,439.0,+0.00%
11,3189,景碩,上市,一般產業,879.63,175.93,100633,899.0,+13.22%
12,8358,金居,上櫃,一般產業,863.39,172.68,163905,543.0,+0.00%
13,2308,台達電,上市,電子 / 電源綠能,844.83,168.97,48108,1830.0,+5.48%
14,6213,聯茂,上市,一般產業,741.07,148.21,135248,582.0,+20.62%
15,8039,台虹,上市,一般產業,734.88,146.98,237860,343.5,+29.62%
16,2301,光寶科,上市,一般產業,730.83,146.17,245973,317.5,+10.63%
17,8046,南電,上市,電子 / ABF載板,650.99,130.2,54420,1240.0,+9.25%
18,3017,奇鋐,上市,一般產業,649.61,129.92,20572,3360.0,+17.69%
19,1815,富喬,上櫃,一般產業,624.37,124.87,514975,125.5,+0.00%
20,3443,創意,上市,一般產業,618.73,123.75,10532,6015.0,+12.12%
