名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,3821.56,764.31,161420,2370.0,+0.00%
2,2408,南亞科,上市,半導體 / 記憶體,2200.31,440.06,500130,457.0,+15.26%
3,2454,聯發科,上市,半導體 / IC設計,2039.16,407.83,51590,3900.0,-0.26%
4,2327,國巨*,上市,被動元件,1585.36,317.07,281316,540.0,-2.17%
5,3037,欣興,上市,電子 / ABF載板,1584.4,316.88,168512,955.0,+10.40%
6,2303,聯電,上市,半導體 / 晶圓代工,1387.31,277.46,1152332,116.0,-1.69%
7,2344,華邦電,上市,半導體 / 記憶體,1289.61,257.92,794280,163.5,+14.34%
8,3231,緯創,上市,電腦 / AI伺服器,1277.4,255.48,671804,183.5,-1.34%
9,2308,台達電,上市,電子 / 電源綠能,1246.62,249.32,76287,1650.0,+4.43%
10,4958,臻鼎-KY,上市,電子 / PCB軟板,908.78,181.76,198671,473.0,+12.22%
11,1303,南亞,上市,塑膠塑化 / 原料,890.15,178.03,507483,188.0,+13.94%
12,6770,力積電,上市,一般產業,819.45,163.89,1296794,65.5,+19.74%
13,3481,群創,上市,光電 / 面板製造,818.98,163.8,1718599,47.55,+3.82%
14,3017,奇鋐,上市,一般產業,806.95,161.39,29465,2785.0,+9.22%
15,3711,日月光投控,上市,半導體 / 封測龍頭,791.36,158.27,133185,585.0,-4.10%
16,2317,鴻海,上市,代工 / AI伺服器,739.03,147.81,287387,260.0,+2.77%
17,2337,旺宏,上市,一般產業,699.95,139.99,579175,121.5,+9.95%
18,6669,緯穎,上市,一般產業,685.85,137.17,11291,6100.0,+2.95%
19,3189,景碩,上市,一般產業,681.49,136.3,82891,823.0,+17.91%
20,2383,台光電,上市,電子 / CCL銅箔基板,662.28,132.46,12812,5240.0,+5.22%
