名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,6038.22,1207.64,263262,2425.0,+3.19%
2,2454,聯發科,上市,半導體 / IC設計,1840.24,368.05,55425,3555.0,-3.40%
3,0050,元大台灣50,上市,指數型 / ETF,1712.47,342.49,1768650,102.85,+1.38%
4,2308,台達電,上市,電子 / 電源綠能,1634.31,326.86,102863,1640.0,-6.55%
5,2327,國巨*,上市,被動元件,1376.54,275.31,257506,502.0,-19.68%
6,2408,南亞科,上市,半導體 / 記憶體,1217.89,243.58,326934,360.5,-17.32%
7,2303,聯電,上市,半導體 / 晶圓代工,1202.9,240.58,1065213,121.0,-3.97%
8,3231,緯創,上市,電腦 / AI伺服器,971.27,194.25,569177,176.0,-0.56%
9,3481,群創,上市,光電 / 面板製造,933.08,186.62,2112353,45.5,-3.91%
10,3037,欣興,上市,電子 / ABF載板,888.45,177.69,119032,787.0,-7.19%
11,2317,鴻海,上市,代工 / AI伺服器,844.36,168.87,350252,250.5,-0.99%
12,6488,環球晶,上櫃,一般產業,799.22,159.84,94903,855.0,+0.00%
13,8046,南電,上市,電子 / ABF載板,785.54,157.11,83243,920.0,-14.42%
14,4958,臻鼎-KY,上市,電子 / PCB軟板,780.6,156.12,187088,413.5,-12.11%
15,00631L,元大台灣50正2,上市,槓桿型 / ETF,745.86,149.17,2448849,33.7,+0.48%
16,5483,中美晶,上櫃,一般產業,737.77,147.55,463172,157.0,+0.00%
17,2344,華邦電,上市,半導體 / 記憶體,675.71,135.14,498101,130.0,-18.75%
18,2383,台光電,上市,電子 / CCL銅箔基板,622.41,124.48,14194,4745.0,-1.45%
19,00981A,主動統一台股增長,上市,一般產業,609.13,121.83,2407483,26.13,-5.09%
20,3711,日月光投控,上市,半導體 / 封測龍頭,581.12,116.22,107511,555.0,-8.72%
