名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2952.42,590.48,122342,2385.0,-1.04%
2,2408,南亞科,上市,半導體 / 記憶體,2643.55,528.71,491388,518.0,-4.25%
3,2454,聯發科,上市,半導體 / IC設計,1954.77,390.95,46482,4275.0,+10.61%
4,3037,欣興,上市,電子 / ABF載板,1834.44,366.89,179415,973.0,-17.54%
5,1303,南亞,上市,塑膠塑化 / 原料,1790.75,358.15,770047,237.5,+4.40%
6,2327,國巨*,上市,被動元件,1678.73,335.75,296511,540.0,-2.70%
7,2344,華邦電,上市,半導體 / 記憶體,1662.29,332.46,912029,179.0,-3.76%
8,2303,聯電,上市,半導體 / 晶圓代工,1383.48,276.7,1087303,126.0,+6.33%
9,3008,大立光,上市,一般產業,1260.89,252.18,17192,7810.0,+12.94%
10,3189,景碩,上市,一般產業,1211.06,242.21,137351,847.0,-7.33%
11,4958,臻鼎-KY,上市,電子 / PCB軟板,1071.15,214.23,212030,507.0,+6.29%
12,2308,台達電,上市,電子 / 電源綠能,1002.67,200.53,55582,1730.0,-2.26%
13,3105,穩懋,上櫃,一般產業,1002.28,200.46,209869,469.5,+0.00%
14,6669,緯穎,上市,一般產業,887.64,177.53,19119,2610.0,-61.70%
15,8046,南電,上市,電子 / ABF載板,883.7,176.74,70917,1200.0,-7.34%
16,1815,富喬,上櫃,一般產業,806.92,161.38,611926,131.0,+0.00%
17,3324,雙鴻,上櫃,一般產業,782.05,156.41,55009,1435.0,+0.00%
18,2313,華通,上市,一般產業,745.84,149.17,301386,249.0,+2.05%
19,5274,信驊,上櫃,一般產業,710.39,142.08,3985,17725.0,+0.00%
20,3017,奇鋐,上市,一般產業,699.52,139.9,20732,3310.0,-0.90%
