名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2599.13,519.83,108943,2415.0,+2.11%
2,2408,南亞科,上市,半導體 / 記憶體,2328.41,465.68,487804,482.5,+5.12%
3,2344,華邦電,上市,半導體 / 記憶體,1595.34,319.07,919206,177.0,+3.51%
4,2327,國巨*,上市,被動元件,1584.31,316.86,271645,602.0,+5.61%
5,2454,聯發科,上市,半導體 / IC設計,1315.47,263.09,33257,4015.0,+2.42%
6,2308,台達電,上市,電子 / 電源綠能,1046.52,209.3,59634,1790.0,+6.55%
7,6770,力積電,上市,一般產業,983.07,196.61,1433299,73.7,+10.66%
8,4958,臻鼎-KY,上市,電子 / PCB軟板,976.0,195.2,204304,471.5,-2.18%
9,1303,南亞,上市,塑膠塑化 / 原料,877.2,175.44,473920,189.0,+5.88%
10,2337,旺宏,上市,一般產業,804.39,160.88,619307,136.5,+5.81%
11,2303,聯電,上市,半導體 / 晶圓代工,802.66,160.53,667082,123.0,+1.23%
12,2368,金像電,上市,一般產業,740.47,148.09,76089,1000.0,+1.52%
13,3017,奇鋐,上市,一般產業,689.81,137.96,24262,2910.0,-1.02%
14,3481,群創,上市,光電 / 面板製造,669.42,133.88,1338658,50.4,+0.80%
15,3037,欣興,上市,電子 / ABF載板,664.18,132.84,68255,1000.0,+2.77%
16,2317,鴻海,上市,代工 / AI伺服器,636.16,127.23,240755,270.0,+2.08%
17,3711,日月光投控,上市,半導體 / 封測龍頭,588.65,117.73,95967,621.0,+4.37%
18,3443,創意,上市,一般產業,570.28,114.06,11999,5130.0,+14.51%
19,3231,緯創,上市,電腦 / AI伺服器,561.41,112.28,295972,193.5,+2.11%
20,3661,世芯-KY,上市,一般產業,543.87,108.77,14027,4055.0,+10.79%
