"日期","上市加權指數","上市漲跌點數","上市漲跌幅(%)","上市成交金額(元)","上櫃櫃買指數","上櫃漲跌點數","上櫃漲跌幅(%)","上櫃成交金額(元)"
"08/28","46331.45","356.23","0.77","1068985392591","402.83","2.45","0.61","291031167000"
"08/27","45975.22","142.6","0.31","967466055186","400.38","4.72","1.19","280346805000"
"08/26","45832.62","663.16","1.47","843092483357","395.66","6.25","1.60","237979116000"
"08/25","45169.46","407.14","0.91","724258445490","389.41","3.31","0.86","168782272000"
"08/24","44762.32","-461.97","-1.02","656280679689","386.1","-1.17","-0.30","186358091000"
