名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2496.11,499.22,104084,2350.0,-3.49%
2,2408,南亞科,上市,半導體 / 記憶體,2322.46,464.49,450023,481.0,-6.42%
3,2454,聯發科,上市,半導體 / IC設計,2039.09,407.82,49817,3845.0,-8.99%
4,2344,華邦電,上市,半導體 / 記憶體,1617.97,323.59,891408,168.0,-5.08%
5,2327,國巨*,上市,被動元件,1545.15,309.03,251248,576.0,-12.99%
6,3037,欣興,上市,電子 / ABF載板,1500.3,300.06,135179,1130.0,+13.00%
7,6770,力積電,上市,一般產業,1250.48,250.1,1662081,66.6,-11.08%
8,2308,台達電,上市,電子 / 電源綠能,1231.66,246.33,65877,1765.0,-6.37%
9,8046,南電,上市,電子 / ABF載板,1113.6,222.72,87026,1180.0,-2.88%
10,4958,臻鼎-KY,上市,電子 / PCB軟板,1073.09,214.62,218771,457.0,-4.29%
11,1303,南亞,上市,塑膠塑化 / 原料,1066.42,213.28,534360,187.5,-0.79%
12,3017,奇鋐,上市,一般產業,900.59,180.12,28636,3095.0,-3.28%
13,3189,景碩,上市,一般產業,846.8,169.36,95208,849.0,-0.24%
14,3443,創意,上市,一般產業,772.08,154.42,13848,5295.0,-4.42%
15,3008,大立光,上市,一般產業,763.08,152.62,15006,5550.0,+19.10%
16,3081,聯亞,上櫃,一般產業,754.48,150.9,27433,2680.0,+0.00%
17,2303,聯電,上市,半導體 / 晶圓代工,714.23,142.85,585307,115.5,-7.23%
18,2317,鴻海,上市,代工 / AI伺服器,696.02,139.2,270255,245.0,-6.49%
19,3661,世芯-KY,上市,一般產業,693.7,138.74,17023,3630.0,-13.37%
20,2383,台光電,上市,電子 / CCL銅箔基板,693.41,138.68,11436,5880.0,+3.34%
