名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,5444.11,1088.82,232349,2405.0,+9.07%
2,2454,聯發科,上市,半導體 / IC設計,2079.51,415.9,55441,4000.0,+23.65%
3,2408,南亞科,上市,半導體 / 記憶體,1840.32,368.06,451191,445.0,+35.67%
4,2308,台達電,上市,電子 / 電源綠能,1707.98,341.6,105973,1650.0,+7.84%
5,2327,國巨*,上市,被動元件,1594.29,318.86,296391,578.0,+26.62%
6,3037,欣興,上市,電子 / ABF載板,1523.89,304.78,175304,969.0,+35.34%
7,2303,聯電,上市,半導體 / 晶圓代工,1479.17,295.83,1252135,122.0,+10.91%
8,3231,緯創,上市,電腦 / AI伺服器,1371.43,274.29,744383,193.0,+20.62%
9,0050,元大台灣50,上市,指數型 / ETF,1102.4,220.48,1103801,103.8,+11.02%
10,2344,華邦電,上市,半導體 / 記憶體,974.92,194.98,661660,169.0,+42.62%
11,6488,環球晶,上櫃,一般產業,969.54,193.91,104972,872.0,+0.00%
12,3481,群創,上市,光電 / 面板製造,926.65,185.33,2025143,47.8,+15.46%
13,2317,鴻海,上市,代工 / AI伺服器,846.63,169.33,342922,258.5,+12.64%
14,4958,臻鼎-KY,上市,電子 / PCB軟板,830.51,166.1,195297,488.0,+29.79%
15,3711,日月光投控,上市,半導體 / 封測龍頭,812.13,162.43,141642,593.0,+17.43%
16,2383,台光電,上市,電子 / CCL銅箔基板,793.47,158.69,16465,5245.0,+21.55%
17,1303,南亞,上市,塑膠塑化 / 原料,769.89,153.98,468944,177.0,+22.07%
18,6669,緯穎,上市,一般產業,707.45,141.49,12264,6175.0,+26.02%
19,00631L,元大台灣50正2,上市,槓桿型 / ETF,630.04,126.01,1964984,34.15,+20.33%
20,00981A,主動統一台股增長,上市,一般產業,608.84,121.77,2313713,28.46,+19.78%
