名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2408,南亞科,上市,半導體 / 記憶體,2684.98,537.0,499622,518.0,+0.19%
2,2330,台積電,上市,半導體 / 晶圓代工,2540.08,508.02,105303,2440.0,+1.04%
3,3037,欣興,上市,電子 / ABF載板,1839.31,367.86,176031,971.0,-16.29%
4,1303,南亞,上市,塑膠塑化 / 原料,1697.76,339.55,749245,234.5,+13.29%
5,2344,華邦電,上市,半導體 / 記憶體,1667.66,333.53,912982,176.0,-3.03%
6,2327,國巨*,上市,被動元件,1559.96,311.99,275557,568.0,+5.77%
7,2303,聯電,上市,半導體 / 晶圓代工,1310.04,262.01,1033566,132.5,+7.29%
8,3189,景碩,上市,一般產業,1279.92,255.98,145735,874.0,-0.79%
9,3008,大立光,上市,一般產業,1206.07,241.21,16900,7580.0,+20.51%
10,2454,聯發科,上市,半導體 / IC設計,1199.74,239.95,30299,4315.0,+9.38%
11,3105,穩懋,上櫃,一般產業,1081.36,216.27,227380,492.0,+0.00%
12,4958,臻鼎-KY,上市,電子 / PCB軟板,982.14,196.43,196703,535.0,+18.10%
13,8046,南電,上市,電子 / ABF載板,956.28,191.26,77318,1225.0,+3.81%
14,2308,台達電,上市,電子 / 電源綠能,886.56,177.31,49303,1865.0,+6.57%
15,3017,奇鋐,上市,一般產業,752.73,150.55,22806,3410.0,+8.08%
16,2313,華通,上市,一般產業,739.26,147.85,302355,252.0,+13.51%
17,6669,緯穎,上市,一般產業,723.53,144.71,10138,7800.0,+14.96%
18,6213,聯茂,上市,一般產業,694.2,138.84,122516,550.0,-5.66%
19,3443,創意,上市,一般產業,688.04,137.61,11377,5995.0,-2.12%
20,2368,金像電,上市,一般產業,681.43,136.29,59520,1225.0,+17.79%
