名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,3535.46,707.09,149252,2380.0,+2.59%
2,2408,南亞科,上市,半導體 / 記憶體,2478.62,495.72,543976,502.0,+15.14%
3,2454,聯發科,上市,半導體 / IC設計,1978.69,395.74,49946,3960.0,+2.46%
4,2327,國巨*,上市,被動元件,1670.64,334.13,295232,573.0,+1.24%
5,3037,欣興,上市,電子 / ABF載板,1464.5,292.9,153425,992.0,+7.36%
6,2344,華邦電,上市,半導體 / 記憶體,1453.26,290.65,871523,179.5,+14.33%
7,2308,台達電,上市,電子 / 電源綠能,1155.1,231.02,69395,1815.0,+12.04%
8,2303,聯電,上市,半導體 / 晶圓代工,1153.25,230.65,955292,123.0,+3.80%
9,3231,緯創,上市,電腦 / AI伺服器,1113.75,222.75,579012,193.0,-1.03%
10,3711,日月光投控,上市,半導體 / 封測龍頭,867.57,173.51,144892,630.0,+7.69%
11,6770,力積電,上市,一般產業,862.4,172.48,1321040,67.6,+12.48%
12,1303,南亞,上市,塑膠塑化 / 原料,844.79,168.96,468616,185.0,+8.50%
13,4958,臻鼎-KY,上市,電子 / PCB軟板,836.13,167.23,178143,470.5,+5.97%
14,2337,旺宏,上市,一般產業,817.98,163.6,661225,133.5,+11.25%
15,3017,奇鋐,上市,一般產業,786.51,157.3,28258,2765.0,+6.35%
16,3481,群創,上市,光電 / 面板製造,760.11,152.02,1559456,52.3,+9.41%
17,2317,鴻海,上市,代工 / AI伺服器,699.89,139.98,269576,264.5,+5.80%
18,3189,景碩,上市,一般產業,682.0,136.4,82262,836.0,+9.00%
19,8358,金居,上櫃,一般產業,661.51,132.3,186989,346.0,+0.00%
20,2368,金像電,上市,一般產業,660.07,132.01,69821,926.0,+3.23%
