"日期","融資買進(元)","融資賣出(元)","融資償還(元)","融資餘額(元)","融資單日增減(元)","融券餘額(張)","融券單日增減(張)"
"20260828","41690941000","34055406000","376783000","567177536000","7258752000","213833","3242"
"20260827","38162365000","32753216000","292950000","559918784000","5116199000","210591","3782"
"20260826","32839860000","24720558000","254414000","554802585000","7864887000","206809","6305"
"20260825","22256921000","19212328000","1366482000","546937698000","1678111000","200504","-1009"
"20260824","21480689000","22688300000","472283000","545259430000","-1679894000","201513","1515"
