名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2408,南亞科,上市,半導體 / 記憶體,2581.84,516.37,484109,543.0,+6.47%
2,2330,台積電,上市,半導體 / 晶圓代工,2405.22,481.04,100038,2405.0,+0.21%
3,8299,群聯,上櫃,一般產業,1743.31,348.66,80587,0.0,-100.00%
4,2344,華邦電,上市,半導體 / 記憶體,1587.62,317.52,870549,182.5,+1.96%
5,1303,南亞,上市,塑膠塑化 / 原料,1499.42,299.88,680765,242.5,+28.65%
6,2327,國巨*,上市,被動元件,1488.33,297.67,265188,545.0,+0.18%
7,2454,聯發科,上市,半導體 / IC設計,1229.22,245.84,31763,3925.0,+5.09%
8,2303,聯電,上市,半導體 / 晶圓代工,1169.38,233.88,937863,129.0,+3.20%
9,3037,欣興,上市,電子 / ABF載板,1099.79,219.96,96963,999.0,-8.77%
10,8358,金居,上櫃,一般產業,1068.69,213.74,200024,0.0,-100.00%
11,3008,大立光,上市,一般產業,1062.25,212.45,15682,7650.0,+33.74%
12,3189,景碩,上市,一般產業,1051.2,210.24,120800,819.0,-1.92%
13,2308,台達電,上市,電子 / 電源綠能,927.87,185.57,52510,1840.0,+7.60%
14,3105,穩懋,上櫃,一般產業,925.75,185.15,207082,0.0,-100.00%
15,8046,南電,上市,電子 / ABF載板,818.97,163.79,67622,1230.0,+6.03%
16,6213,聯茂,上市,一般產業,752.56,150.51,135580,548.0,+3.40%
17,3529,力旺,上櫃,一般產業,752.23,150.45,31388,0.0,-100.00%
18,3293,鈊象,上櫃,一般產業,751.18,150.24,103513,0.0,-100.00%
19,3017,奇鋐,上市,一般產業,734.65,146.93,22766,3425.0,+16.10%
20,8039,台虹,上市,一般產業,718.79,143.76,225985,327.0,+12.18%
