名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2268.38,453.68,95228,2375.0,-0.84%
2,2408,南亞科,上市,半導體 / 記憶體,2115.88,423.18,409635,517.0,+0.98%
3,2454,聯發科,上市,半導體 / IC設計,2019.97,403.99,50830,3700.0,-12.11%
4,3037,欣興,上市,電子 / ABF載板,1598.17,319.63,142874,1140.0,+11.76%
5,2327,國巨*,上市,被動元件,1482.78,296.56,247501,562.0,-9.65%
6,2344,華邦電,上市,半導體 / 記憶體,1474.73,294.95,815883,176.5,-3.81%
7,2308,台達電,上市,電子 / 電源綠能,1151.1,230.22,62472,1745.0,-7.43%
8,1303,南亞,上市,塑膠塑化 / 原料,1022.92,204.58,511447,186.0,-10.36%
9,6770,力積電,上市,一般產業,1008.44,201.69,1356434,67.3,-14.16%
10,8046,南電,上市,電子 / ABF載板,990.28,198.06,77676,1195.0,-8.43%
11,4958,臻鼎-KY,上市,電子 / PCB軟板,977.87,195.57,200422,463.0,-5.41%
12,3189,景碩,上市,一般產業,951.82,190.36,107591,851.0,-1.28%
13,3008,大立光,上市,一般產業,824.9,164.98,15772,5515.0,+19.63%
14,2383,台光電,上市,電子 / CCL銅箔基板,761.36,152.27,12537,5985.0,-2.92%
15,3443,創意,上市,一般產業,753.3,150.66,13481,5630.0,+3.02%
16,1815,富喬,上櫃,一般產業,713.82,142.76,672485,107.0,+0.00%
17,3017,奇鋐,上市,一般產業,667.23,133.45,21296,2985.0,-7.73%
18,3081,聯亞,上櫃,一般產業,649.09,129.82,23651,2780.0,+0.00%
19,3661,世芯-KY,上市,一般產業,645.62,129.12,16057,3750.0,-10.93%
20,3711,日月光投控,上市,半導體 / 封測龍頭,615.67,123.13,102269,590.0,-4.22%
