名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2408,南亞科,上市,半導體 / 記憶體,2729.01,545.8,543715,512.0,+1.99%
2,2330,台積電,上市,半導體 / 晶圓代工,2568.64,513.73,106590,2395.0,+0.63%
3,2344,華邦電,上市,半導體 / 記憶體,1851.74,370.35,1025383,183.5,+2.23%
4,2327,國巨*,上市,被動元件,1819.6,363.92,294750,622.0,+8.55%
5,8299,群聯,上櫃,一般產業,1813.49,362.7,83178,2080.0,+0.00%
6,2454,聯發科,上市,半導體 / IC設計,1751.61,350.32,42560,4210.0,+6.31%
7,6770,力積電,上市,一般產業,1312.99,262.6,1770215,78.4,+15.98%
8,2308,台達電,上市,電子 / 電源綠能,1233.03,246.61,66869,1885.0,+3.86%
9,4958,臻鼎-KY,上市,電子 / PCB軟板,1092.74,218.55,225280,489.5,+4.04%
10,1303,南亞,上市,塑膠塑化 / 原料,1034.69,206.94,539658,207.5,+12.16%
11,8358,金居,上櫃,一般產業,985.96,197.19,225631,428.5,+0.00%
12,3017,奇鋐,上市,一般產業,869.25,173.85,28628,3235.0,+17.00%
13,2303,聯電,上市,半導體 / 晶圓代工,820.42,164.08,665041,121.0,-1.63%
14,6488,環球晶,上櫃,一般產業,788.31,157.66,77127,1010.0,+0.00%
15,2337,旺宏,上市,一般產業,767.28,153.46,567474,137.0,+2.62%
16,8046,南電,上市,電子 / ABF載板,764.84,152.97,61239,1305.0,+15.49%
17,2368,金像電,上市,一般產業,736.71,147.34,74675,1015.0,+9.61%
18,3443,創意,上市,一般產業,713.59,142.72,13900,5465.0,+20.64%
19,6182,合晶,上櫃,上櫃 / 矽晶圓,710.39,142.08,619096,111.5,+0.00%
20,2317,鴻海,上市,代工 / AI伺服器,708.06,141.61,267606,259.5,-1.89%
