"日期","上市加權指數","上市漲跌點數","上市漲跌幅(%)","上市成交金額(元)","上櫃櫃買指數","上櫃漲跌點數","上櫃漲跌幅(%)","上櫃成交金額(元)"
"08/05","44611.6","1250.94","2.88","1200212510521","383.75","8.72","2.33","182591031000"
"08/04","43360.66","-25.75","-0.06","1087045875836","375.03","12.14","3.35","159489264000"
"08/03","43386.41","266.66","0.62","885506043091","362.89","15.04","4.32","132226012000"
"07/31","43119.75","3186.45","7.98","887732405136","347.85","21.62","6.63","130024199000"
"07/30","39933.3","-105.88","-0.26","1146937829185","326.23","-8.01","-2.40","174150558000"
