"日期","上市加權指數","上市漲跌點數","上市漲跌幅(%)","上市成交金額(元)","上櫃櫃買指數","上櫃漲跌點數","上櫃漲跌幅(%)","上櫃成交金額(元)"
"08/21","45224.29","290.55","0.65","744043808366","387.27","-2.69","-0.69","197673238000"
"08/20","44933.74","214.39","0.48","834412514041","389.96","5.17","1.34","183188159000"
"08/19","44719.35","-589.33","-1.30","890269743542","384.79","-6.04","-1.55","179226416000"
"08/18","45308.68","-548.59","-1.20","1007881760816","390.83","-7.49","-1.88","237768204000"
"08/17","45857.27","46.26","0.10","981055134845","398.32","-2.63","-0.66","173191189000"
