名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,3017.58,603.52,126478,2395.0,-0.42%
2,2408,南亞科,上市,半導體 / 記憶體,2528.5,505.7,538581,489.0,+9.89%
3,2327,國巨*,上市,被動元件,1614.28,322.86,279257,617.0,+6.75%
4,2344,華邦電,上市,半導體 / 記憶體,1612.86,322.57,944585,178.0,+5.33%
5,2454,聯發科,上市,半導體 / IC設計,1607.0,321.4,40337,4020.0,+0.50%
6,2308,台達電,上市,電子 / 電源綠能,1164.42,232.88,67400,1805.0,+9.39%
7,2303,聯電,上市,半導體 / 晶圓代工,1035.71,207.14,853460,123.0,+0.82%
8,3037,欣興,上市,電子 / ABF載板,1023.5,204.7,104574,992.0,+2.37%
9,3231,緯創,上市,電腦 / AI伺服器,884.42,176.88,459630,191.0,-1.04%
10,1303,南亞,上市,塑膠塑化 / 原料,875.75,175.15,479395,190.0,+7.34%
11,2337,旺宏,上市,一般產業,874.07,174.81,688371,132.5,+12.77%
12,4958,臻鼎-KY,上市,電子 / PCB軟板,841.23,168.25,175831,490.0,+0.41%
13,6770,力積電,上市,一般產業,827.72,165.54,1245492,67.0,+1.36%
14,3481,群創,上市,光電 / 面板製造,780.31,156.06,1571128,50.1,+4.81%
15,3017,奇鋐,上市,一般產業,727.93,145.59,25868,2760.0,+1.10%
16,3711,日月光投控,上市,半導體 / 封測龍頭,679.6,135.92,111590,629.0,+6.07%
17,2368,金像電,上市,一般產業,663.79,132.76,69205,964.0,+2.55%
18,2317,鴻海,上市,代工 / AI伺服器,661.68,132.34,253072,263.0,+1.74%
19,3189,景碩,上市,一般產業,660.39,132.08,79179,842.0,+1.69%
20,2301,光寶科,上市,一般產業,620.86,124.17,238737,268.5,+7.83%
