名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2454,聯發科,上市,半導體 / IC設計,2875.88,575.18,64238,4760.0,+10.31%
2,2330,台積電,上市,半導體 / 晶圓代工,2715.42,543.08,112259,2460.0,+0.82%
3,3037,欣興,上市,電子 / ABF載板,2049.07,409.81,217067,949.0,-2.27%
4,2408,南亞科,上市,半導體 / 記憶體,1987.16,397.43,391774,517.0,-0.19%
5,2327,國巨*,上市,被動元件,1440.07,288.01,256839,589.0,+3.70%
6,2303,聯電,上市,半導體 / 晶圓代工,1306.72,261.34,979337,143.0,+7.92%
7,1303,南亞,上市,塑膠塑化 / 原料,1183.7,236.74,504887,230.5,-1.71%
8,2344,華邦電,上市,半導體 / 記憶體,1061.1,212.22,601036,180.0,+2.27%
9,4958,臻鼎-KY,上市,電子 / PCB軟板,1061.08,212.22,210547,501.0,-6.36%
10,3189,景碩,上市,一般產業,964.49,192.9,115141,813.0,-6.98%
11,2308,台達電,上市,電子 / 電源綠能,928.17,185.63,51513,1850.0,-0.80%
12,6669,緯穎,上市,一般產業,886.04,177.21,28766,2490.0,-68.08%
13,8046,南電,上市,電子 / ABF載板,856.71,171.34,75190,1050.0,-14.29%
14,3008,大立光,上市,一般產業,851.48,170.3,11490,6660.0,-12.14%
15,3231,緯創,上市,電腦 / AI伺服器,686.06,137.21,357884,197.0,+8.24%
16,3017,奇鋐,上市,一般產業,635.33,127.07,18458,3420.0,+0.29%
17,3711,日月光投控,上市,半導體 / 封測龍頭,593.32,118.66,98527,621.0,+1.80%
18,2455,全新,上市,一般產業,581.54,116.31,111110,500.0,-4.58%
19,2313,華通,上市,一般產業,545.41,109.08,219378,240.0,-4.76%
20,2368,金像電,上市,一般產業,527.35,105.47,46051,1120.0,-8.57%
