名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,4483.02,896.6,195224,2200.0,-8.52%
2,2454,聯發科,上市,半導體 / IC設計,1917.63,383.53,54761,3150.0,-18.71%
3,2327,國巨*,上市,被動元件,1517.17,303.43,245784,507.0,-27.16%
4,2408,南亞科,上市,半導體 / 記憶體,1494.21,298.84,368077,353.5,-17.02%
5,3231,緯創,上市,電腦 / AI伺服器,1300.85,260.17,745738,169.5,-2.31%
6,0050,元大台灣50,上市,指數型 / ETF,1244.89,248.98,1284951,93.7,-9.82%
7,2303,聯電,上市,半導體 / 晶圓代工,1090.62,218.12,910986,102.5,-25.99%
8,2308,台達電,上市,電子 / 電源綠能,1010.99,202.2,61925,1495.0,-20.48%
9,3037,欣興,上市,電子 / ABF載板,903.97,180.79,111772,688.0,-23.21%
10,4958,臻鼎-KY,上市,電子 / PCB軟板,870.59,174.12,187482,404.5,-20.06%
11,2344,華邦電,上市,半導體 / 記憶體,857.99,171.6,558840,130.0,-19.25%
12,8046,南電,上市,電子 / ABF載板,775.69,155.14,71429,879.0,-28.54%
13,3481,群創,上市,光電 / 面板製造,771.58,154.32,1671846,41.8,-19.46%
14,1303,南亞,上市,塑膠塑化 / 原料,733.99,146.8,417681,141.5,-28.17%
15,8299,群聯,上櫃,一般產業,670.25,134.05,44171,1515.0,+0.00%
16,2317,鴻海,上市,代工 / AI伺服器,668.3,133.66,271188,237.0,-7.96%
17,6669,緯穎,上市,一般產業,657.88,131.58,12021,5135.0,-6.12%
18,3711,日月光投控,上市,半導體 / 封測龍頭,587.18,117.44,101108,499.0,-23.11%
19,3260,威剛,上櫃,一般產業,580.51,116.1,155318,394.0,+0.00%
20,00631L,元大台灣50正2,上市,槓桿型 / ETF,563.56,112.71,1820182,28.53,-18.65%
