名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,4945.49,989.1,208028,2365.0,-2.47%
2,2454,聯發科,上市,半導體 / IC設計,1923.53,384.71,49016,3920.0,+10.27%
3,2408,南亞科,上市,半導體 / 記憶體,1908.58,381.72,437718,459.0,+27.32%
4,2308,台達電,上市,電子 / 電源綠能,1595.36,319.07,97512,1680.0,+2.44%
5,3037,欣興,上市,電子 / ABF載板,1400.59,280.12,150079,973.0,+23.63%
6,3231,緯創,上市,電腦 / AI伺服器,1396.53,279.31,745075,189.5,+7.67%
7,2327,國巨*,上市,被動元件,1374.16,274.83,243437,570.0,+13.55%
8,2303,聯電,上市,半導體 / 晶圓代工,1244.43,248.89,1028443,121.5,+0.41%
9,6274,台燿,上櫃,上櫃 / CCL銅箔基板,1228.44,245.69,83791,1530.0,+0.00%
10,2344,華邦電,上市,半導體 / 記憶體,1026.77,205.35,638614,171.0,+31.54%
11,0050,元大台灣50,上市,指數型 / ETF,903.65,180.73,884767,103.3,+0.44%
12,2317,鴻海,上市,代工 / AI伺服器,884.2,176.84,347988,264.5,+5.59%
13,3481,群創,上市,光電 / 面板製造,850.58,170.12,1813031,50.0,+9.89%
14,4958,臻鼎-KY,上市,電子 / PCB軟板,813.39,162.68,181048,482.0,+16.57%
15,3105,穩懋,上櫃,一般產業,778.9,155.78,205041,382.0,+0.00%
16,3711,日月光投控,上市,半導體 / 封測龍頭,758.78,151.76,128181,595.0,+7.21%
17,3017,奇鋐,上市,一般產業,747.57,149.51,27824,2940.0,+26.72%
18,6770,力積電,上市,一般產業,687.45,137.49,1103919,66.6,+22.20%
19,6669,緯穎,上市,一般產業,677.02,135.4,11323,6265.0,+16.23%
20,1303,南亞,上市,塑膠塑化 / 原料,664.29,132.86,386784,178.5,+11.91%
