名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2169.26,433.85,91293,2410.0,+0.42%
2,2408,南亞科,上市,半導體 / 記憶體,1913.05,382.61,370424,528.0,+0.76%
3,2454,聯發科,上市,半導體 / IC設計,1788.19,357.64,46146,3790.0,-6.42%
4,3037,欣興,上市,電子 / ABF載板,1747.85,349.57,156442,1085.0,-3.12%
5,2344,華邦電,上市,半導體 / 記憶體,1231.03,246.21,688866,181.0,-0.28%
6,2327,國巨*,上市,被動元件,1127.33,225.47,194306,554.0,-8.88%
7,3189,景碩,上市,一般產業,1055.69,211.14,120570,811.0,-10.39%
8,2308,台達電,上市,電子 / 電源綠能,960.01,192.0,52834,1750.0,-7.16%
9,3008,大立光,上市,一般產業,928.46,185.69,17371,5610.0,+10.65%
10,8046,南電,上市,電子 / ABF載板,822.33,164.47,65986,1135.0,-12.36%
11,1303,南亞,上市,塑膠塑化 / 原料,809.1,161.82,409135,192.0,-4.24%
12,4958,臻鼎-KY,上市,電子 / PCB軟板,790.82,158.16,166115,441.0,-12.33%
13,3443,創意,上市,一般產業,782.99,156.6,13990,5600.0,-4.27%
14,2383,台光電,上市,電子 / CCL銅箔基板,717.47,143.49,11895,5680.0,-10.55%
15,6770,力積電,上市,一般產業,669.88,133.98,944774,68.4,-8.31%
16,8039,台虹,上市,一般產業,609.46,121.89,218484,282.0,+8.88%
17,3711,日月光投控,上市,半導體 / 封測龍頭,586.08,117.22,98189,587.0,-4.55%
18,3653,健策,上市,一般產業,573.41,114.68,10648,5395.0,+1.03%
19,3661,世芯-KY,上市,一般產業,541.08,108.22,13843,3700.0,-8.87%
20,2303,聯電,上市,半導體 / 晶圓代工,503.95,100.79,429557,116.5,-4.12%
