名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2956.72,591.34,119923,2500.0,+3.09%
2,2454,聯發科,上市,半導體 / IC設計,2317.69,463.54,46660,5185.0,+15.22%
3,2303,聯電,上市,半導體 / 晶圓代工,1773.22,354.64,1133560,160.0,+8.47%
4,2408,南亞科,上市,半導體 / 記憶體,1461.82,292.36,284797,515.0,+5.53%
5,6488,環球晶,上櫃,一般產業,1379.0,275.8,143574,950.0,+0.00%
6,2308,台達電,上市,電子 / 電源綠能,1273.97,254.79,69642,1900.0,+12.76%
7,2409,友達,上市,一般產業,1239.71,247.94,3651669,34.7,+15.67%
8,3189,景碩,上市,一般產業,1008.71,201.74,116292,906.0,+12.55%
9,2327,國巨*,上市,被動元件,919.92,183.98,162669,573.0,+8.32%
10,2344,華邦電,上市,半導體 / 記憶體,882.81,176.56,503247,172.5,+1.47%
11,3037,欣興,上市,電子 / ABF載板,871.43,174.29,82656,1160.0,+23.40%
12,8299,群聯,上櫃,一般產業,839.11,167.82,37160,2215.0,+0.00%
13,1303,南亞,上市,塑膠塑化 / 原料,830.61,166.12,351782,227.5,-3.60%
14,3443,創意,上市,一般產業,812.97,162.59,11076,8385.0,+29.00%
15,4958,臻鼎-KY,上市,電子 / PCB軟板,807.05,161.41,167341,473.0,-0.63%
16,2383,台光電,上市,電子 / CCL銅箔基板,806.69,161.34,16543,5020.0,+6.92%
17,8046,南電,上市,電子 / ABF載板,758.05,151.61,66757,1210.0,+13.62%
18,2449,京元電子,上市,一般產業,735.88,147.18,243372,304.0,+14.72%
19,3008,大立光,上市,一般產業,714.03,142.81,11233,6190.0,+2.82%
20,6182,合晶,上櫃,上櫃 / 矽晶圓,698.77,139.75,585734,115.5,+0.00%
