名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2640.86,528.17,107566,2450.0,+1.66%
2,2454,聯發科,上市,半導體 / IC設計,2081.96,416.39,44804,4720.0,+6.91%
3,2303,聯電,上市,半導體 / 晶圓代工,1637.09,327.42,1174403,142.5,+9.62%
4,2408,南亞科,上市,半導體 / 記憶體,1460.56,292.11,284109,515.0,+3.83%
5,2327,國巨*,上市,被動元件,1337.91,267.58,234703,572.0,+1.78%
6,2344,華邦電,上市,半導體 / 記憶體,1187.28,237.46,650004,179.5,+3.16%
7,3037,欣興,上市,電子 / ABF載板,1146.45,229.29,121380,994.0,+10.20%
8,2308,台達電,上市,電子 / 電源綠能,920.36,184.07,51884,1675.0,-8.22%
9,3231,緯創,上市,電腦 / AI伺服器,812.37,162.47,427221,185.0,-6.57%
10,1303,南亞,上市,塑膠塑化 / 原料,785.59,157.12,335518,244.0,+8.20%
11,2409,友達,上市,一般產業,711.9,142.38,2392327,31.2,+16.42%
12,4958,臻鼎-KY,上市,電子 / PCB軟板,671.81,134.36,136611,494.5,+6.80%
13,3008,大立光,上市,一般產業,627.54,125.51,9244,6720.0,-9.19%
14,3189,景碩,上市,一般產業,622.69,124.54,76774,827.0,+0.98%
15,3711,日月光投控,上市,半導體 / 封測龍頭,604.05,120.81,97098,650.0,+10.54%
16,3017,奇鋐,上市,一般產業,551.96,110.39,16108,3460.0,-3.08%
17,6669,緯穎,上市,一般產業,551.33,110.27,22817,2345.0,-8.58%
18,6770,力積電,上市,一般產業,548.04,109.61,759275,73.5,+7.30%
19,8046,南電,上市,電子 / ABF載板,547.66,109.53,51413,1070.0,+1.42%
20,2492,華新科,上市,一般產業,532.21,106.44,168962,334.0,+11.89%
