名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2667.34,533.47,109218,2380.0,-3.64%
2,2454,聯發科,上市,半導體 / IC設計,1498.59,299.72,32289,4560.0,-3.18%
3,2303,聯電,上市,半導體 / 晶圓代工,1331.49,266.3,947518,142.5,+4.01%
4,2408,南亞科,上市,半導體 / 記憶體,1225.07,245.01,239598,473.0,-10.92%
5,2344,華邦電,上市,半導體 / 記憶體,1129.21,225.84,628777,160.0,-14.89%
6,2308,台達電,上市,電子 / 電源綠能,1021.97,204.39,60523,1620.0,-10.25%
7,2327,國巨*,上市,被動元件,917.35,183.47,163776,545.0,-3.88%
8,8358,金居,上櫃,一般產業,865.72,173.14,170278,518.0,+0.00%
9,3037,欣興,上市,電子 / ABF載板,807.36,161.47,82891,970.0,+1.68%
10,2409,友達,上市,一般產業,766.18,153.24,2541957,28.7,-3.04%
11,1303,南亞,上市,塑膠塑化 / 原料,697.8,139.56,295876,234.0,-0.43%
12,3231,緯創,上市,電腦 / AI伺服器,666.1,133.22,357816,181.0,-2.95%
13,3008,大立光,上市,一般產業,636.76,127.35,9778,5995.0,-7.77%
14,2492,華新科,上市,一般產業,571.46,114.29,180006,305.5,-4.08%
15,3661,世芯-KY,上市,一般產業,566.03,113.21,14867,3590.0,-10.92%
16,3711,日月光投控,上市,半導體 / 封測龍頭,538.08,107.62,85914,612.0,-0.97%
17,4958,臻鼎-KY,上市,電子 / PCB軟板,531.41,106.28,106127,489.5,-3.07%
18,3443,創意,上市,一般產業,523.62,104.72,8550,6400.0,+7.38%
19,6274,台燿,上櫃,上櫃 / CCL銅箔基板,520.19,104.04,37205,1410.0,+0.00%
20,3189,景碩,上市,一般產業,484.35,96.87,59592,798.0,-0.25%
