"日期","外資買進(元)","外資賣出(元)","外資買賣超(元)","投信買進(元)","投信賣出(元)","投信買賣超(元)","自營(自行)買進(元)","自營(自行)賣出(元)","自營(自行)買賣超(元)","自營(避險)買進(元)","自營(避險)賣出(元)","自營(避險)買賣超(元)","三大法人總買進(元)","三大法人總賣出(元)","三大法人合計買賣超(元)"
"20260812","315772101156","304751289162","11020811994","20801629805","18000889407","2800740398","9126172660","8005086194","1121086466","31495946292","23916364023","7579582269","377195849913","354673628786","22522221127"
"20260811","355022942702","332694259407","22328683295","17374366535","14150298802","3224067733","8696270920","7641675826","1054595094","25409128377","24003583869","1405544508","406502708534","378489817904","28012890630"
"20260810","330578332956","278837817824","51740515132","18267000126","14865930705","3401069421","10654284227","5376123028","5278161199","35448393492","22258400346","13189993146","394948010801","321338271903","73609738898"
"20260807","310339947885","351055691675","-40715743790","16799691936","18001413338","-1201721402","9433931221","8716492897","717438324","24848196468","26533706666","-1685510198","361421767510","404307304576","-42885537066"
"20260806","392402699900","390382881760","2019818140","23857074616","14448687992","9408386624","10711456439","10816477933","-105021494","24975808359","31183605452","-6207797093","451947039314","446831653137","5115386177"
