名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,2496.23,499.25,101983,2465.0,+3.14%
2,2454,聯發科,上市,半導體 / IC設計,2187.82,437.56,47652,4625.0,+6.57%
3,2408,南亞科,上市,半導體 / 記憶體,1884.74,376.95,369779,523.0,+9.53%
4,2303,聯電,上市,半導體 / 晶圓代工,1520.3,304.06,1109588,141.5,+13.20%
5,2344,華邦電,上市,半導體 / 記憶體,1349.21,269.84,743524,183.0,+8.28%
6,2327,國巨*,上市,被動元件,1306.06,261.21,230902,565.0,+10.57%
7,3037,欣興,上市,電子 / ABF載板,1276.32,255.26,135673,993.0,+7.58%
8,1303,南亞,上市,塑膠塑化 / 原料,880.26,176.05,380022,236.5,+7.01%
9,3105,穩懋,上櫃,一般產業,852.64,170.53,182033,464.0,+0.00%
10,3231,緯創,上市,電腦 / AI伺服器,833.35,166.67,435967,189.0,+0.27%
11,4958,臻鼎-KY,上市,電子 / PCB軟板,789.21,157.84,161242,502.0,+8.19%
12,3081,聯亞,上櫃,一般產業,770.32,154.06,25801,2850.0,+0.00%
13,2308,台達電,上市,電子 / 電源綠能,756.11,151.22,41741,1795.0,+1.99%
14,8046,南電,上市,電子 / ABF載板,733.98,146.8,67987,1110.0,+2.78%
15,3189,景碩,上市,一般產業,731.37,146.27,90176,812.0,+4.77%
16,2409,友達,上市,一般產業,682.6,136.52,2336145,30.5,+14.88%
17,3008,大立光,上市,一般產業,632.8,126.56,9177,6870.0,-3.92%
18,3481,群創,上市,光電 / 面板製造,619.32,123.86,1238414,50.1,+4.16%
19,6669,緯穎,上市,一般產業,618.34,123.67,25177,2325.0,-6.06%
20,3017,奇鋐,上市,一般產業,614.82,122.96,17952,3380.0,+2.42%
