名次,代號,名稱,市場,產業,5日總成交額(億),日均成交額(億),5日成交量(張),最新價,5日漲跌幅(%)
1,2330,台積電,上市,半導體 / 晶圓代工,1981.05,396.21,82598,2410.0,+0.00%
2,2408,南亞科,上市,半導體 / 記憶體,1827.1,365.42,351669,541.0,+2.46%
3,2454,聯發科,上市,半導體 / IC設計,1120.82,224.16,29384,3865.0,+1.98%
4,3037,欣興,上市,電子 / ABF載板,1068.22,213.64,96070,1180.0,+8.76%
5,2344,華邦電,上市,半導體 / 記憶體,959.17,191.83,531947,186.0,+2.76%
6,3081,聯亞,上櫃,一般產業,897.86,179.57,26414,3370.0,+0.00%
7,1303,南亞,上市,塑膠塑化 / 原料,887.48,177.5,443274,227.5,+18.49%
8,2327,國巨*,上市,被動元件,849.1,169.82,155691,555.0,+0.18%
9,3189,景碩,上市,一般產業,825.34,165.07,96330,914.0,+12.70%
10,6213,聯茂,上市,一般產業,795.85,159.17,148166,563.0,+9.75%
11,2303,聯電,上市,半導體 / 晶圓代工,789.12,157.82,649279,118.5,+1.72%
12,3008,大立光,上市,一般產業,759.9,151.98,12865,6915.0,+23.26%
13,4979,華星光,上櫃,一般產業,735.58,147.12,117465,617.0,+0.00%
14,8039,台虹,上市,一般產業,725.14,145.03,247856,352.5,+25.00%
15,8358,金居,上櫃,一般產業,716.87,143.37,154414,494.0,+0.00%
16,2308,台達電,上市,電子 / 電源綠能,700.68,140.14,40457,1770.0,+1.14%
17,3443,創意,上市,一般產業,684.39,136.88,11835,5920.0,+5.71%
18,2383,台光電,上市,電子 / CCL銅箔基板,655.03,131.01,11629,5500.0,-3.17%
19,3105,穩懋,上櫃,一般產業,652.59,130.52,150129,445.5,+0.00%
20,2301,光寶科,上市,一般產業,640.37,128.07,221434,301.0,+15.33%
