"日期","外資買進(元)","外資賣出(元)","外資買賣超(元)","投信買進(元)","投信賣出(元)","投信買賣超(元)","自營(自行)買進(元)","自營(自行)賣出(元)","自營(自行)買賣超(元)","自營(避險)買進(元)","自營(避險)賣出(元)","自營(避險)買賣超(元)","三大法人總買進(元)","三大法人總賣出(元)","三大法人合計買賣超(元)"
"20260817","369663152041","324215867015","45447285026","26085051545","43861902730","-17776851185","11405300339","7865150499","3540149840","35764664555","37899511479","-2134846924","442918168480","413842431723","29075736757"
"20260814","432487254209","387135923788","45351330421","29633900919","21661301037","7972599882","11160429833","13896418209","-2735988376","37990253170","36915452903","1074800267","511271838131","459609095937","51662742194"
"20260813","435459348263","359764831688","75694516575","28305817016","29807555301","-1501738285","14066013115","10808037054","3257976061","41691722620","29888947276","11802775344","519522901014","430269371319","89253529695"
"20260812","319565035470","308544223476","11020811994","21174869805","18898597106","2276272699","9126172660","8005086194","1121086466","31496291016","23916708747","7579582269","381362368951","359364615523","21997753428"
"20260811","355022942702","332694259407","22328683295","17374366535","14150298802","3224067733","8696270920","7641675826","1054595094","25409128377","24003583869","1405544508","406502708534","378489817904","28012890630"
